p_archivos,ej5,ej6
23,116109212,74141362
24,119528960,75731706
25,120462217,73886230
26,119868882,71169927
27,136282737,73093069
28,121121314,66840327
29,118408271,64402394
30,118684880,63648096
31,124667815,67105183
32,124799102,62251994
33,123489545,66467315
34,123453403,67160437
35,126413284,66116288
36,130207681,64547156
37,142003448,66844133
38,131279789,63668328
39,124245876,68258107
40,132962228,64855824
41,127990131,64350297
42,143189523,65405502
43,135980721,62993670
44,144274881,64435580
45,144975472,65222425
46,146191233,62536661
47,129969356,63539473
48,140346811,70430196
49,151297113,73246537
50,141675346,74198833
51,145199253,71086125
52,147398516,72744405
53,147520565,73280845
54,148946503,71408862
55,143127409,70704301
56,166411135,69858703
57,142146302,70224946
58,147120685,67090644
59,153482416,71676756
60,148335820,74548399
61,155439222,71380746
62,144096351,69833068
63,144118766,73126762
64,172050437,70800737
65,155740330,70205702
66,166434151,97184561
67,192278620,95925949
68,195398108,98202216
69,190039745,93128086
70,191136357,96651520
71,192702832,90737204
72,207523341,92103854
73,188090008,95521059
74,186695784,94828784
75,185037436,95212906
76,185784127,90251940
77,185346432,93296277
78,203258038,94618173
79,188060747,92032641
80,176874525,77992125
81,172903025,82130222
82,168484645,82083558
83,170480396,84169839
84,170367021,82140245
85,174762668,85448271
86,170467521,82931226
87,178683321,83049908
88,174313272,78977280
89,200522484,78973570
90,168858508,79421246
91,177750068,83399472
92,178602463,81148345
93,166042769,81859881
94,168959625,83329728
95,172788244,70400533
96,157213688,68830144
97,180272271,71069212
98,157441379,71248602
99,164191903,72576420
100,152389380,74311412
1,152620665,150907397
2,98649987,113260116
3,81957697,95220575
4,84437084,86764125
5,77612887,86155685
6,94594888,80017550
7,92719909,78881413
8,108659515,76989808
9,108100599,76517860
10,109115047,78267221
11,113342160,73268826
12,114044154,75700626
13,119360034,73388872
14,99109494,75616619
15,138651640,86428876
16,116151359,85009274
17,145784008,83657126
18,146551874,83046123
19,149876389,84284284
20,139366411,84202326
21,151614995,86759064
22,144683139,83849589
23,154866401,88565610
24,157839508,82789859
25,140250810,89341498
26,160419653,88828717
27,149771540,85714092
28,170322654,88265376
29,153694757,82908860
30,149544256,83935964
31,157546630,83307244
32,152802137,70901145
33,145657424,71836122
34,145126874,75076382
35,136065407,72633380
36,159390073,69505902
37,143604584,71078305
38,159779058,73983002
39,154006607,76080877
40,145850538,70363553
41,140630079,75498085
42,138741762,71883621
43,158010340,74406306
44,159033057,76366692
45,164605810,72979536
46,162283155,75577538
47,160678464,73328181
48,155736014,75117244
49,150314653,75379164
50,187682384,87369204
51,172718493,85529015
52,181477108,86437332
53,197553721,84091893
54,184172024,83161233
55,183493904,79677555
56,177794824,81329978
57,192525750,83661015
58,176036945,83367985
59,185924578,84518994
60,174953606,81579989
61,177167999,79856787
62,178238713,85121837
63,182357338,88575730
64,177245250,79196857
65,153688422,71731371
66,153045098,70833671
67,154404538,71918513
68,161455280,73036292
69,153755896,72143889
70,152432298,73894007
71,148376847,73011313
72,168627187,72583549
