p_archivos,ej5-load,ej5-merge,ej6
13,8734026,16753714,9938013
14,8248458,17005861,10511260
15,8742329,16924964,10058232
16,8348803,17107731,9746388
17,8551188,15889788,10448129
18,8587462,14718726,10072344
19,9523605,16763999,10026896
20,8456322,15063627,10499727
21,8569999,14979104,9913721
22,8986140,16424910,9949658
23,8115190,17394211,10715841
24,11765690,17648142,9943530
25,8326765,17294572,9956186
26,10855847,17694724,10731433
27,7685678,17241724,10564198
28,12426735,19295723,10215865
29,11247568,17773573,10738949
30,8365055,15215382,9912909
31,12385112,19252501,10020446
32,10060732,17227585,9675910
33,12269326,19527026,10040544
34,9451939,15791339,10795585
35,8894131,14974175,10010847
36,9726320,15564979,9922357
37,10404965,17781335,10271985
38,12903580,18289016,11003394
39,9126216,15938656,9865058
40,12884232,19561567,10164118
41,12494739,18343548,10161142
42,8088972,15063786,9880516
43,9312607,16595690,11342084
44,13271530,18689379,9754432
45,8911272,16029784,9807003
46,9768078,15803955,10238927
47,13803224,17530367,11407812
48,11552611,17930740,11198862
49,10391568,16233166,9998057
50,13121362,17813968,10005126
51,8869092,16383963,10645259
52,9348027,16751807,10213221
53,16167781,19606649,12620014
54,10201256,16619100,10429794
55,12600686,16852495,10817906
56,15326706,20014619,11480998
57,8875922,17433098,10910917
58,8649635,16242191,11036447
59,10527649,15998305,10776846
60,12204005,18246975,11716479
61,14904925,17867349,10203155
62,9840109,16740191,12485706
63,11418019,18932399,30943396
64,17282968,18769478,10456786
65,9456695,15603844,9717152
66,13203860,17637883,12123999
67,9353857,15004865,10597935
68,11484104,17589897,10014787
69,9234092,15693329,10374493
70,16021701,19755383,10633937
71,12424954,17161853,10306817
72,9981138,16309343,11514254
73,9267560,16178487,10361107
74,9941897,17351487,13057128
75,12772698,15857904,10241233
76,17262638,19773649,10904977
77,17440373,20680787,11284373
78,9547483,16802585,10838296
79,12212067,18549654,10224580
80,11947485,16788233,11904135
81,9041257,16793709,10620976
82,9103686,17589434,10654164
83,14156061,18621589,10834692
84,12620447,16111489,11110801
85,9271898,17776564,11120810
86,16541709,18843383,10625837
87,14134598,17014456,10585722
88,12903088,19395791,12362792
